Table: cen_units
RecordCount: -1
------------------------------------------------------------
FieldName	Type	Size	Required	AllowZeroLength	DefaultValue
unt_id	Long	4	True	False	
unt_type	Text	255	True	True	
unt_name	Text	255	True	True	
unt_namesh	Text	255	True	True	
unt_lowerm	Long	4	True	False	
unt_upperm	Long	4	True	False	
unt_lowers	Long	4	True	False	
unt_uppers	Long	4	True	False	
unt_area	Text	255	False	True	
unt_leadname	Text	255	False	True	
unt_leadtitle	Text	255	False	True	
unt_leadrank	Text	255	False	True	
unt_leaddesig	Text	255	False	True	
unt_leaddesigshort	Text	255	False	True	
